date	title	byline	url
2025-05-01	2024 Public Benefit Report	Esther Orudiakumo	https://www.system.com/blog/2024-public-benefit-report
2025-02-03	Case Study: Evaluating System for Accurate and Robust Literature Review and Evidence Synthesis		https://www.system.com/blog/case-study-evaluating-system-for-accurate-and-robust-literature-search-and-evidence-synthesis
2025-01-08	How the Novartis Foundation is Leveraging the System Graph		https://www.system.com/blog/how-the-novartis-foundation-is-leveraging-the-system-graph
2024-11-12	System at COP29		https://www.system.com/blog/system-at-cop29
2024-10-15	Adam Bly Lectures at UVA School of Data Science		https://www.system.com/blog/adam-bly-lectures-at-uva-school-of-data-science
2024-07-22	Danny Hillis, Inventor of the Google Knowledge Graph, Joins System as an Advisor	Adam Bly	https://www.system.com/blog/danny-hillis-joins-system-as-an-advisor
2024-07-11	Broadening the System Graph to Sociology, Economics, Political Science, and Business	Sugreev Chawla	https://www.system.com/blog/broadening-the-system-graph-to-sociology-economics-political-science-and-business
2024-06-28	Classifying Study Type Using Deep Learning	David Kang	https://www.system.com/blog/classifying-study-type-using-deep-learning
2024-06-20	Scaling Beyond Biomedical: Our First Step Toward Modeling Climate Change as a System	Adam Bly	https://www.system.com/blog/scaling-beyond-biomedical
2024-06-13	Integrating the EMBL GWAS Database into the System Graph	Zoë Rogers	https://www.system.com/blog/integrating-the-embl-gwas-database-into-the-system-graph
2024-06-05	Uncovering the System of Cardiovascular Disease	Zoë Rogers	https://www.system.com/blog/uncovering-the-system-of-cardiovascular-disease
2024-05-01	2023 Public Benefit Report	Esther Orudiakumo	https://www.system.com/blog/2023-public-benefit-report
2023-12-14	Designing for the Edge	Lisa Strausfeld	https://www.system.com/blog/designing-for-the-edge
2023-11-10	System vs GPT-4: A More Accurate and Comprehensive Research Assistant	Mehdi Jamei	https://www.system.com/blog/system-pro-vs-gpt-4-a-more-accurate-and-comprehensive-research-assistant
2023-11-09	AI + Life Sciences: A Collaboration to Meet the Moment		https://www.system.com/blog/ai-life-sciences-a-collaboration-to-meet-the-moment
2023-10-26	Keeping Pace with Biomedical Breakthroughs: The Daily Influx of New Research Insights	Mehdi Jamei	https://www.system.com/blog/keeping-pace-with-biomedical-breakthroughs-the-daily-influx-of-new-research-insights
2023-10-17	Evaluating the performance of System's research synthesis	Mehdi Jamei	https://www.system.com/blog/evaluating-the-performance-of-system-pros-synthesis
2023-10-08	Integrating Retraction Watch Database with System Graph	Caz Gottlieb	https://www.system.com/blog/introducing-retraction-watch-in-system-pro
2023-08-07	AI Is Muddying the Truth. The Way to Fix It Is Centuries Old.	Adam Bly and Amy Brand	https://www.system.com/blog/ai-is-muddying-the-truth-the-way-to-fix-it-is-centuries-old
2023-07-05	This Is the Help Congress Needs to Regulate AI	Adam Bly	https://www.system.com/blog/this-is-the-help-congress-needs-to-regulate-ai
2023-06-29	Safety-first AI comes to health care		https://www.system.com/blog/safety-first-ai-comes-to-health-care
2023-06-21	Welcoming Dr. Paul B. Rothman and Dr. Andrew Trister to System as Healthcare Advisors	Adam Bly	https://www.system.com/blog/welcoming-dr-paul-b-rothman-and-dr-andrew-trister-to-system-as-healthcare-advisors
2023-05-05	Adam Bly Speaks at Solve at MIT		https://www.system.com/blog/adam-bly-speaks-at-solve-at-mit
2023-05-04	Release Risks: May 2023		https://www.system.com/blog/release-risks-may-2023
2023-02-08	Welcoming Tom Glocer and Amy Brand to System	Adam Bly	https://www.system.com/blog/welcoming-tom-glocer-and-amy-brand
2023-01-31	2022 Public Benefit Report	Esther Orudiakumo	https://www.system.com/blog/2022-public-benefit-report
2023-01-23	Feature Release: January 2023	Caz Gottlieb	https://www.system.com/blog/feature-release-january-2023
2022-10-03	Scaling System with GPT-3	Adam Bly	https://www.system.com/blog/scaling-system-with-gpt-3-4
2022-10-03	Release Risks: October 2022	Caz Gottlieb & Mehdi Jamei	https://www.system.com/blog/release-risks-october-2022
2022-06-23	Mapping the System of Gun Violence in the U.S.	Mehdi Jamei	https://www.system.com/blog/mapping-the-system-of-gun-violence-in-the-u-s
2022-06-14	Katherine Maher, Former CEO of Wikipedia, Joins System’s Board of Directors	Adam Bly	https://www.system.com/blog/katherine-maher-former-ceo-of-wikipedia-joins-systems-board-of-directors
2022-04-08	Mapping the Systemic Impact of Russia’s Invasion of Ukraine	Patrick Wedlock	https://www.system.com/blog/mapping-the-systemic-impact-of-russias-invasion-of-ukraine
2022-03-25	Release Risks: v1.0-Beta	Mona Fawzy & Martina Larkin	https://www.system.com/blog/release-risks-v1-0-beta
2022-03-10	Announcing the Public Beta of System	Adam Bly	https://www.system.com/blog/announcing-the-public-beta-of-system
2021-06-04	Design Emergency: Paola Antonelli Interviews Adam Bly		https://www.system.com/blog/design-emergency-paola-antonelli-interviews-adam-bly
2021-06-01	Announcing our Series A		https://www.system.com/blog/announcing-our-series-a
2019-03-14	Adam Bly: Redesigning the System		https://www.system.com/blog/adam-bly-redesigning-the-system
