date	title	subtitle	url	file	chars
2023-06-03	Let's talk about open claims, endless argument, and how social media works.	Part of a larger series.	https://mikecaulfield.substack.com/p/lets-talk-about-open-claims-endless	by/2023--substack-lets-talk-about-open-claims-endless.md	12919
2023-06-10	Reasonableness: An Introduction	A middle road between naive theories of impact and "lol facts don't matter"	https://mikecaulfield.substack.com/p/reasonableness-an-introduction	by/2023--substack-reasonableness-an-introduction.md	14713
2023-06-19	Reasonableness #2: What are we defending, exactly?	We often shorthand what we are defending as the "claim", but we are defending a position relative to a claim, and that has ramifications	https://mikecaulfield.substack.com/p/reasonableness-2-what-are-we-defending	by/2023--substack-reasonableness-2-what-are-we-defending.md	14251
2023-06-20	Evidence, Implicit Claims, and Warrants	How evidence is marshalled -- and contested -- online and elsewhere	https://mikecaulfield.substack.com/p/evidence-implicit-claims-and-warrants	by/2023--substack-evidence-implicit-claims-and-warrants.md	13690
2023-06-21	The open argument must be fed: The peculiar case of Fox News and the pleasant smoke	Why Fox News can't tell you to put on a mask in a wildfire	https://mikecaulfield.substack.com/p/the-open-argument-must-be-fed-the	DUPLICATE of by/2023--hapgood-the-open-argument-must-be-fed-the-peculiar-case-of-fox-news.md	17319
2023-06-30	McKeon on Reasonableness	In which I find the source I lost that led to a lot of insight.	https://mikecaulfield.substack.com/p/mckeon-on-reasonableness	by/2023--substack-mckeon-on-reasonableness.md	3190
2023-07-01	Smoke as Argument: Conspiracy Theory Edition	As smoke hits the Midwest it merges with another argument	https://mikecaulfield.substack.com/p/smoke-as-argument-conspiracy-theory	by/2023--substack-smoke-as-argument-conspiracy-theory.md	4737
2023-07-03	Two evidence-fitting modes	Convergent and divergent evidence-fitting	https://mikecaulfield.substack.com/p/two-evidence-modes	by/2023--substack-two-evidence-modes.md	2180
2023-07-03	Tropes and evidence	How content cues aid evidence-fitting for open arguments	https://mikecaulfield.substack.com/p/tropes-and-evidence	by/2023--substack-tropes-and-evidence.md	7069
2023-07-11	Position to Know	A slightly different way of thinking about authority	https://mikecaulfield.substack.com/p/position-to-know	by/2023--substack-position-to-know.md	4750
2023-07-12	Rethinking Information Disorder via Argumentation Theory Lens		https://mikecaulfield.substack.com/p/rethinking-information-disorder-via	by/2023--substack-rethinking-information-disorder-via.md	5224
2023-07-16	Example of a Point 2 Failure: Soviet Partners		https://mikecaulfield.substack.com/p/example-of-a-point-2-failure-soviet	by/2023--substack-example-of-a-point-2-failure-soviet.md	4908
2023-07-27	Propositional Attitudes and Flying Saucers		https://mikecaulfield.substack.com/p/propositional-attitudes-and-flying	by/2023--substack-propositional-attitudes-and-flying.md	1832
2023-08-13	Tropes turn patterns into evidence		https://mikecaulfield.substack.com/p/tropes-turn-patterns-into-evidence	by/2023--substack-tropes-turn-patterns-into-evidence.md	1810
2024-04-28	The structure of #DiedSuddenly	How ongoing arguments work in conjunction with Twitter hashtags	https://mikecaulfield.substack.com/p/the-structure-of-a-diedsuddenly-argument	by/2024--substack-the-structure-of-a-diedsuddenly-argument.md	9544
2024-04-30	30,000 registration mailers and the problem with the phrase "technically true"	It's not what the thing is, it's how you use it -- or misuse it.	https://mikecaulfield.substack.com/p/30000-registration-mailers-and-the	by/2024--substack-30000-registration-mailers-and-the.md	6700
2024-05-02	Bike lock agitators and the license of reasonableness	People misrepresent evidence because reasonableness is a permit	https://mikecaulfield.substack.com/p/bike-lock-agitators-and-the-license	by/2024--substack-bike-lock-agitators-and-the-license.md	8286
2024-05-03	The Tuscon LDS "ballot party" story and the varieties of evidence		https://mikecaulfield.substack.com/p/the-tuscon-lds-ballot-party-story	by/2024--substack-the-tuscon-lds-ballot-party-story.md	9143
2024-05-04	Extending a Toulmin Diagram with Additional Backing	Dealing with the "Terrorism Guide"	https://mikecaulfield.substack.com/p/extending-a-toulmin-diagram-with	by/2024--substack-extending-a-toulmin-diagram-with.md	6877
2024-05-06	Unsourced testimony: When unfounded isn't much better than false		https://mikecaulfield.substack.com/p/unsourced-testimony-when-unfounded	by/2024--substack-unsourced-testimony-when-unfounded.md	4665
2024-05-08	Improbable Results: More votes than voters and garbage inputs	"Just doing the math" with random numbers people provide you isn't a great approach	https://mikecaulfield.substack.com/p/improbable-results-false-registration	by/2024--substack-improbable-results-false-registration.md	5633
2024-05-16	Google Search's AI is (or should be) about cognitive load		https://mikecaulfield.substack.com/p/google-searchs-ai-is-or-should-be	by/2024--substack-google-searchs-ai-is-or-should-be.md	12088
2024-05-25	The Elmer's Glue Pizza Error Is More Fascinating Than You Think	The places where AI summary strikes out are often due to a mismatch between search quality and answer quality	https://mikecaulfield.substack.com/p/the-elmers-glue-pizza-error-is-more	by/2024--substack-the-elmers-glue-pizza-error-is-more.md	6094
2024-05-29	Covered Holocaust Monument	Was a covered Holocaust monument a sign of rising antisemitism?	https://mikecaulfield.substack.com/p/covered-holocaust-monument	by/2024--substack-covered-holocaust-monument.md	5686
2024-06-01	Your Peak Never Looks Like a Peak	LLMs are a half-decent hit single on the way down from stardom. Just don't call it a comeback.	https://mikecaulfield.substack.com/p/what-the-experience-of-an-influential	by/2024--substack-what-the-experience-of-an-influential.md	8326
2024-06-11	Answers from nowhere solving nothing	Why do AI examples increasingly feel like those Cybertruck "offroading" videos?	https://mikecaulfield.substack.com/p/solutions-from-nowhere-solving-nothing	by/2024--substack-solutions-from-nowhere-solving-nothing.md	3321
2024-06-19	Why those "Biden confused" videos are misleading (and many of them lies)	It's slightly more complex than you think, but clearer than you realize.	https://mikecaulfield.substack.com/p/why-those-biden-confused-videos-are	by/2024--substack-why-those-biden-confused-videos-are.md	7167
2024-06-23	Google Search is an overlay	Building an AI-infused Star Trek Computer is a limiting goal. Google should continue to shoot higher than that.	https://mikecaulfield.substack.com/p/google-search-is-an-overlay	by/2024--substack-google-search-is-an-overlay.md	46037
2024-06-28	Your reality is already augmented: Answering some questions about my overlay post.	The overlay is about a particular practice and contextual relation that is both increasingly frequent and capturable.	https://mikecaulfield.substack.com/p/your-reality-is-already-augmented	by/2024--substack-your-reality-is-already-augmented.md	12243
2024-06-28	Ambient misinformation	Even when giving you the "right" answer, LLM output can misinform along the way	https://mikecaulfield.substack.com/p/ambient-misinformation	by/2024--substack-ambient-misinformation.md	5018
2024-07-12	Interactive Diagrams on Google SERP	Short note about a feature I hadn't seen before	https://mikecaulfield.substack.com/p/interactive-diagrams-on-google-serp	by/2024--substack-interactive-diagrams-on-google-serp.md	1576
2024-07-14	Still Alive	A brief guide to wondering who's still with us, using Google Trends	https://mikecaulfield.substack.com/p/still-alive	by/2024--substack-still-alive.md	18496
2024-07-17	Your Second Screen Is a Search Engine	An example from two phases of The Office shows how mobile phones changed TV consumption -- and brought the overlay to television	https://mikecaulfield.substack.com/p/your-second-screen-is-a-search-engine	by/2024--substack-your-second-screen-is-a-search-engine.md	3586
2024-07-18	The New York Times Is Not In the Business You Think It Is	Google Trends provides yet another indicator the news portion is a side hustle	https://mikecaulfield.substack.com/p/the-new-york-times-is-not-in-the	by/2024--substack-the-new-york-times-is-not-in-the.md	7131
2024-07-30	Trend of the Day: Looking for Veep	In today's Trend of the Day we look at people looking for the show Veep	https://mikecaulfield.substack.com/p/trend-of-the-day-looking-for-veep	by/2024--substack-trend-of-the-day-looking-for-veep.md	3395
2024-07-30	Trend of the Day: Solfege	Another post about search trends and NYT Games	https://mikecaulfield.substack.com/p/trend-of-the-day-solfege	by/2024--substack-trend-of-the-day-solfege.md	3546
2024-07-31	Trend of the Day: Olympics Last Supper	Looking at Google search trends suggests the Last Supper controversy was forged less by immediate viewer reaction than by recirculated clips.	https://mikecaulfield.substack.com/p/trend-of-the-day-olympics-last-supper	by/2024--substack-trend-of-the-day-olympics-last-supper.md	6426
2024-08-01	Far more people are searching for "Trump rally" to prove Google is biased than are searching for information using "Trump rally"	It's kind of funny actually?	https://mikecaulfield.substack.com/p/far-more-people-are-searching-for	by/2024--substack-far-more-people-are-searching-for.md	6130
2024-08-02	Trend of the Day: Biles vs. Boxing Controversy	Another example of how searches from watching an event look different than those spurred by circulated clips	https://mikecaulfield.substack.com/p/trend-of-the-day-biles-vs-boxing	by/2024--substack-trend-of-the-day-biles-vs-boxing.md	4871
2024-08-04	Trend of the Day: Historic level of searches for Team USA shirts	It's a just a pattern I noticed, it's got a small search volume -- but it's definitely got me wondering if there's a vibe shift underway.	https://mikecaulfield.substack.com/p/historic-level-of-searches-for-team	by/2024--substack-historic-level-of-searches-for-team.md	1608
2024-08-05	Trend of the Day: US medals count	A short note on a popular search and a useful result	https://mikecaulfield.substack.com/p/us-medals-count	by/2024--substack-us-medals-count.md	2486
2024-08-12	Copium Addicts: What "misinformation" is actually usually about	People use misinformation to maintain beliefs more often than change them	https://mikecaulfield.substack.com/p/copium-addicts-what-misinformation	by/2024--substack-copium-addicts-what-misinformation.md	9808
2024-09-11	Of course you have to fact-check a debate	The reason we fact-check is without it debate is meaningless	https://mikecaulfield.substack.com/p/of-course-you-have-to-fact-check	by/2024--substack-of-course-you-have-to-fact-check.md	2050
2024-09-13	The book that explains how the Springfield cat rumors put people at risk	Knopf's Rumors, Race, and Riots (1975) remains one of the best works on how misinformation fuels and sustains hate.	https://mikecaulfield.substack.com/p/the-book-that-explains-springfields	by/2024--substack-the-book-that-explains-springfields.md	4368
2024-09-27	A bit of a book I've started playing around with writing	Putting this out in the world to see if other people are picking up what I'm laying down	https://mikecaulfield.substack.com/p/a-bit-of-a-book-ive-started-playing	by/2024--substack-a-bit-of-a-book-ive-started-playing.md	16067
2024-10-06	AI in Search Is Really the Race for the Overlay	AI is a tool; the real goal is to put information and context into new spaces. Also: the rise of "soft context".	https://mikecaulfield.substack.com/p/ai-in-search-is-really-the-race-for	by/2024--substack-ai-in-search-is-really-the-race-for.md	12709
2024-10-08	Bullshit context and the Meta AI	Using Meta's LLM for background information is really that bad	https://mikecaulfield.substack.com/p/bullshit-context-and-the-meta-ai	by/2024--substack-bullshit-context-and-the-meta-ai.md	4823
2024-11-10	Inflation and the Hyperreal Election	Daily lives means daily lives	https://mikecaulfield.substack.com/p/inflation-and-the-hyperreal-election	by/2024--substack-inflation-and-the-hyperreal-election.md	3758
2024-11-21	Explanatory Miseries	Let's ask why there was a market for stories about inflation in the first place.	https://mikecaulfield.substack.com/p/explanatory-miseries	by/2024--substack-explanatory-miseries.md	7585
2024-11-29	AI for Fuzzy Context: Fact-Checking the Demonic Parade With Claude		https://mikecaulfield.substack.com/p/ai-for-fuzzy-context-checking-the	by/2024--substack-ai-for-fuzzy-context-checking-the.md	3428
2024-12-04	Teaching Critical Reasoning with AI: Humiliation Rituals	A test of image processing with Claude	https://mikecaulfield.substack.com/p/teaching-critical-reasoning-with	by/2024--substack-teaching-critical-reasoning-with.md	7586
2024-12-05	Search for the known unknowns, LLMs for the unknown unknowns	An oversimplistic but maybe still helpful model of what things are good for	https://mikecaulfield.substack.com/p/search-for-the-known-unknowns-llms	by/2024--substack-search-for-the-known-unknowns-llms.md	4247
2024-12-07	Critical Reasoning with AI: Administrative Bloat	Analysis of a civic question using Claude	https://mikecaulfield.substack.com/p/critical-reasoning-with-ai-administrative	by/2024--substack-critical-reasoning-with-ai-administrative.md	16626
2024-12-07	Teaching Critical Reasoning with AI: Wright Brothers	Paradoxically, LLMs are bad at (niche) facts, but good for fact-checking	https://mikecaulfield.substack.com/p/teaching-critical-reasoning-with-226	by/2024--substack-teaching-critical-reasoning-with-226.md	8741
2024-12-12	Critical Reasoning with AI: Using public discourse to teach political science	The teaching superpower of LLMs is assisting and modeling reasoning / analysis, not serving content	https://mikecaulfield.substack.com/p/critical-reasoning-with-ai-using	by/2024--substack-critical-reasoning-with-ai-using.md	6989
2024-12-18	Critical Reasoning with AI: Worst Decade		https://mikecaulfield.substack.com/p/critical-reasoning-with-ai-worst	by/2024--substack-critical-reasoning-with-ai-worst.md	6482
2024-12-29	The Two Meanings of Reasoning and the Future Path of AI	Reasoning the action and reasoning the path serve different but related purposes	https://mikecaulfield.substack.com/p/the-two-meanings-of-reasoning-and	by/2024--substack-the-two-meanings-of-reasoning-and.md	26348
2024-12-31	Critical Reasoning with AI: How we know LLMs are applying reasoning patterns, and not just reverse image searching	Writing this because I'm tired of having this argument	https://mikecaulfield.substack.com/p/critical-reasoning-with-ai-how-we	by/2024--substack-critical-reasoning-with-ai-how-we.md	25844
2025-01-03	Critical Reasoning with AI: Initial Analysis of a Conspiracy Claim	Again: LLMs are bad at facts, but surprisingly good at fact-checking. We should think more about this	https://mikecaulfield.substack.com/p/critical-reasoning-with-ai-initial	by/2025--substack-critical-reasoning-with-ai-initial.md	15396
2025-01-07	Critical Reasoning with AI: Testing New Toulmin Instruction On Backing		https://mikecaulfield.substack.com/p/critical-reasoning-with-ai-testing	by/2025--substack-critical-reasoning-with-ai-testing.md	8997
2025-01-08	Introducing the Online Toulminator	Adventures in automated claim and argument analysis	https://mikecaulfield.substack.com/p/introducing-the-online-toulminizer	by/2025--substack-introducing-the-online-toulminizer.md	2444
2025-01-09	Toulminator on the "They cut the Fire Department to Fund the Police" Claim		https://mikecaulfield.substack.com/p/toulminator-on-the-they-cut-the-fire	by/2025--substack-toulminator-on-the-they-cut-the-fire.md	5645
2025-01-10	They Used To Call Pre-Bunking Education	Some notes on the LA fires	https://mikecaulfield.substack.com/p/they-used-to-call-pre-bunking-education	by/2025--substack-they-used-to-call-pre-bunking-education.md	5043
2025-01-20	Argument Analysis with AI: Moon Boot	Example and comment	https://mikecaulfield.substack.com/p/argument-analysis-with-ai-moon-boot	by/2025--substack-argument-analysis-with-ai-moon-boot.md	9269
2025-01-21	Argument Analysis with AI: Inauguration		https://mikecaulfield.substack.com/p/argument-analysis-with-ai-inauguration	by/2025--substack-argument-analysis-with-ai-inauguration.md	14544
2025-01-22	A Surplus of Reasoning-the-Noun Consumes a Scarcity of Reasoning-the-Verb	Some unexpected conclusions on AI and Education	https://mikecaulfield.substack.com/p/a-surplus-of-reasoning-the-noun-consumes	by/2025--substack-a-surplus-of-reasoning-the-noun-consumes.md	9397
2025-01-26	How to use the Well-Grounded AI Argument Analyzer	And the bigger point -- these systems can model reasoning for students and others, and I think that's pretty valuable?	https://mikecaulfield.substack.com/p/how-to-use-the-well-grounded-ai-argument	by/2025--substack-how-to-use-the-well-grounded-ai-argument.md	1037
2025-02-16	I asked ChatGPT to make me a CD-ROM on the Kugelhaus	It was an unbearably slow process, but that was part of the fun, and you can fork it.	https://mikecaulfield.substack.com/p/i-asked-chatgpt-to-make-me-a-cd-rom	by/2025--substack-i-asked-chatgpt-to-make-me-a-cd-rom.md	3081
2025-02-17	Create a diff tool in ChatGPT o1 with a few short sentences	A short little hack if you want to compare text files	https://mikecaulfield.substack.com/p/create-a-diff-tool-in-chatgpt-o1	by/2025--substack-create-a-diff-tool-in-chatgpt-o1.md	2993
2025-02-17	How to use ChatGPT to detect AI (and otherwise digitally altered) photos	And a detour regarding why tools for amateurs unusually invested in making things better are useful	https://mikecaulfield.substack.com/p/how-to-use-chatgpt-to-detect-ai-and	by/2025--substack-how-to-use-chatgpt-to-detect-ai-and.md	8879
2025-02-18	Is AI-Produced Ephemeral Software the Future of Novice Computing?	There are issues, but I think its a likely path	https://mikecaulfield.substack.com/p/is-ai-produced-ephemeral-software	by/2025--substack-is-ai-produced-ephemeral-software.md	4456
2025-02-19	A Note on Deep Research Products and the Return of the Traditional Credibility Chain	With a more traditional value chain, enlarging the source pool of licensed material is going to be the competitive advantage	https://mikecaulfield.substack.com/p/a-note-on-deep-research-products	by/2025--substack-a-note-on-deep-research-products.md	4677
2025-02-27	AI Slop Isn't Just Wrong, It's Deathly Boring		https://mikecaulfield.substack.com/p/ai-slop-isnt-just-wrong-its-deathly	by/2025--substack-ai-slop-isnt-just-wrong-its-deathly.md	2082
2025-03-09	ChatGPT's Deep Research as an image contextualization tool: Possibilities and frustrations	Deep Research can do more than reports, its process is pretty interesting to watch -- and it continues to fail in interesting ways.	https://mikecaulfield.substack.com/p/chatgpts-deep-research-as-an-image	by/2025--substack-chatgpts-deep-research-as-an-image.md	18104
2025-03-16	Three-Car Pileup on the Fake Photo Highway	AI slop is bad, but pollution of the historical record is an internet tradition	https://mikecaulfield.substack.com/p/three-car-pileup-on-the-fake-photo	by/2025--substack-three-car-pileup-on-the-fake-photo.md	853
2025-03-26	Fact-Checking Toolset for Claude (or a start towards what "SIFT with AI" might look like)	I made a custom project with instructions that aid a contextualization process. It's not for the novice, but it's pretty cool.	https://mikecaulfield.substack.com/p/fact-checking-toolset-for-claude	by/2025--substack-fact-checking-toolset-for-claude.md	10931
2025-03-30	LLM-based Products Need to Incorporate Better Vision Models	This seems somewhat solvable?	https://mikecaulfield.substack.com/p/llm-based-products-need-to-incorporate	by/2025--substack-llm-based-products-need-to-incorporate.md	1062
2025-04-01	SIFT Toolbox for Claude Released	I don't know how to explain how much this changes everything, so I'm just going to ask you to try it	https://mikecaulfield.substack.com/p/sift-toolbox-for-claude-and-chatgpt	by/2025--substack-sift-toolbox-for-claude-and-chatgpt.md	18136
2025-04-03	SIFT Toolkit Example: Fasting and Immunity		https://mikecaulfield.substack.com/p/sift-toolkit-example-fasting-and	by/2025--substack-sift-toolkit-example-fasting-and.md	2587
2025-04-18	New SIFT Toolbox Release (and a note about why I do this)	It takes an order of magnitude more energy to refute bullshit than produce it. Let's change that.	https://mikecaulfield.substack.com/p/new-sift-toolbox-release-and-a-note	by/2025--substack-new-sift-toolbox-release-and-a-note.md	29453
2025-04-24	Minor SIFT Toolbox for Claude 3.7 Update	Adding a "Potential Leads" Section	https://mikecaulfield.substack.com/p/minor-sift-toolbox-for-claude-37	by/2025--substack-minor-sift-toolbox-for-claude-37.md	5467
2025-04-29	AI will change how you consume result sets (and that's good)	I'm using Claude to get "evidence-aware" search results, and I don't want to go back.	https://mikecaulfield.substack.com/p/ai-will-change-how-you-consume-result	by/2025--substack-ai-will-change-how-you-consume-result.md	11733
2025-05-01	Reading the Room with SIFT Toolbox	It's not perfect, but it will ease you into a scholarly conversation	https://mikecaulfield.substack.com/p/reading-the-room-with-sift-toolbox	by/2025--substack-reading-the-room-with-sift-toolbox.md	4558
2025-05-10	Yes, LLMs Can Be Better at Search Than Traditional Search	It takes a specialized prompt, but LLMs can significantly outperform search.	https://mikecaulfield.substack.com/p/yes-llms-can-be-better-at-search	by/2025--substack-yes-llms-can-be-better-at-search.md	31545
2025-05-11	Cross-Language Fact-Checking Is Pretty Cool	One nice thing with SIFT Toolbox compared to search is that it inherits the language capabilities of the underlying models	https://mikecaulfield.substack.com/p/cross-language-fact-checking-is-pretty	by/2025--substack-cross-language-fact-checking-is-pretty.md	5392
2025-05-13	Getting infinitely better at playing "What's the Joke?"	Comparing models over time on an underrated but common contextualization scenario	https://mikecaulfield.substack.com/p/getting-infinitely-better-at-playing	by/2025--substack-getting-infinitely-better-at-playing.md	7446
2025-05-16	A First Pass at a Screencast Demo of SIFT Toolbox	A mega-prompt that makes your LLM less a friend and more a research assistant	https://mikecaulfield.substack.com/p/a-first-pass-at-a-screencast-demo	by/2025--substack-a-first-pass-at-a-screencast-demo.md	463
2025-05-21	Teaching LLMs Iterative Search Technique to Achieve Greater Accuracy	Using the "another round" function in SIFT Toolbox	https://mikecaulfield.substack.com/p/teaching-llms-iterative-search-technique	by/2025--substack-teaching-llms-iterative-search-technique.md	9900
2025-05-24	How structuring AI-assisted search as a "narrated exploration" got better answers and made search fun again	A note on some very enjoyable updates to SIFT Toolbox, courtesy of heuristic theory	https://mikecaulfield.substack.com/p/using-unfolding-search-heuristics	by/2025--substack-using-unfolding-search-heuristics.md	10957
2025-05-30	Some Principles for AI-Assisted Search	Slides from a thing	https://mikecaulfield.substack.com/p/some-principles-for-ai-assisted-search	by/2025--substack-some-principles-for-ai-assisted-search.md	1697
2025-06-01	Differences in link hallucination and source comprehension across different large language models	I've been waiting for someone else to talk about this, but I guess it will be me	https://mikecaulfield.substack.com/p/differences-in-link-hallucination	by/2025--substack-differences-in-link-hallucination.md	42421
2025-06-03	Deep Background: Using o3 to make an annotation layer to the "MAHA" report	We can think bigger on how to add context to public documents when we can fact-check -- in the original sense of the word -- at greater efficiency and scale	https://mikecaulfield.substack.com/p/deep-background-using-o3-to-make	by/2025--substack-deep-background-using-o3-to-make.md	3579
2025-06-09	I used AI to annotate (nearly) the entire introduction of the MAHA report over the weekend. Take a look.	It's a human-in-the-loop system, and this human is tired	https://mikecaulfield.substack.com/p/i-used-ai-to-annotate-nearly-the	by/2025--substack-i-used-ai-to-annotate-nearly-the.md	2706
2025-06-13	The Apple "Reasoning Collapse" Paper Is Even Dumber Than You Think	We're this far into reasoners and neither hypesters nor skeptics really understand their significance. Also: Read Toulmin.	https://mikecaulfield.substack.com/p/the-apple-reasoning-collapse-paper	by/2025--substack-the-apple-reasoning-collapse-paper.md	11109
2025-06-15	SIFT Toolbox Update	A few simple updates	https://mikecaulfield.substack.com/p/sift-toolbox-update	by/2025--substack-sift-toolbox-update.md	2720
2025-06-16	Deep Background GPT Released	The world's best AI fact-checking tool is now available to all as a completely free GPT	https://mikecaulfield.substack.com/p/deep-background-gpt-released	by/2025--substack-deep-background-gpt-released.md	6937
2025-06-19	Hallucination Chains	AI searches citing Grok hallucinations is not the future we want	https://mikecaulfield.substack.com/p/hallucination-chains	by/2025--substack-hallucination-chains.md	3159
2025-06-20	Why the "Everything is Hallucination" Argument Makes Me Roll My Eyes	From LLMs to the Gulf of Tonkin, distinctions matter. Also: a note about "radar clutter".	https://mikecaulfield.substack.com/p/why-the-everything-is-hallucination	by/2025--substack-why-the-everything-is-hallucination.md	9080
2025-07-02	Live Demo of Deep Background for Claude	I finally do a decent video, and maybe also get closer to the core value	https://mikecaulfield.substack.com/p/live-demo-of-deep-background-for	by/2025--substack-live-demo-of-deep-background-for.md	1294
2025-07-03	How Prompting Is Evolving	If you're a good teacher you'll soon be a good prompter too	https://mikecaulfield.substack.com/p/how-prompting-is-evolving	by/2025--substack-how-prompting-is-evolving.md	4746
2025-07-04	Advanced Prompting: "Data-Paging" in LLMs	Making up pretend code to to solve the real problem of having to pull data a bit at a time	https://mikecaulfield.substack.com/p/advanced-prompting-pseudo-data-paging	by/2025--substack-advanced-prompting-pseudo-data-paging.md	5510
2025-07-06	Building an "Event Checker" for a Hallucination and Error Research Project	A couple tricks	https://mikecaulfield.substack.com/p/building-an-event-checker-for-a-hallucination	by/2025--substack-building-an-event-checker-for-a-hallucination.md	10053
2025-08-24	Comparing the wrong things	Search might be a better approach for learning about the world, but the right comparisons matter	https://mikecaulfield.substack.com/p/comparing-the-wrong-things	by/2025--substack-comparing-the-wrong-things.md	3325
2025-08-30	Confirmation Bias in LLM Responses and Potential Educational Mitigations	A couple notes on an interesting problem and some possible educational approaches to it	https://mikecaulfield.substack.com/p/model-hedging	by/2025--substack-model-hedging.md	16739
2025-09-01	Using AI Is a Process Too	Just as there is "search" and there is "search process" there is a process around AI-assisted investigation too -- and we should teach it	https://mikecaulfield.substack.com/p/using-ai-is-a-process-too	by/2025--substack-using-ai-is-a-process-too.md	2356
2025-09-06	It's a Fancy Search Result	A simplification about AI with real-time search integration that will help you get more out of it	https://mikecaulfield.substack.com/p/its-a-fancy-search-result	by/2025--substack-its-a-fancy-search-result.md	1729
2025-09-07	Is the LLM response wrong, or have you just failed to iterate it?	Many "errors" in search-assisted LLMs are not errors at all, but the result of an investigation aborted too soon. Here's how to up your LLM-based verification game by going to round two.	https://mikecaulfield.substack.com/p/is-the-llm-response-wrong-or-have	by/2025--substack-is-the-llm-response-wrong-or-have.md	16176
2025-09-07	Does successful LLM iteration require previous knowledge of the right answer?	Answer: No.	https://mikecaulfield.substack.com/p/does-successful-llm-iteration-require	by/2025--substack-does-successful-llm-iteration-require.md	6949
2025-09-09	Is "Are you sure?" a bad follow-up prompt?	A very minimal test with some fairly clear results. (The answer is yes, it's bad)	https://mikecaulfield.substack.com/p/is-are-you-sure-is-a-bad-follow-up	by/2025--substack-is-are-you-sure-is-a-bad-follow-up.md	10903
2025-09-12	Do students need to know how LLMs work, or to predict how they'll act?	A little venting about what educational explanations are for...	https://mikecaulfield.substack.com/p/do-students-need-to-know-how-llms	by/2025--substack-do-students-need-to-know-how-llms.md	9268
2025-09-15	LLMs Often Conflate Images In Bizarre Ways. Here's How to Work Around It.	A short demonstration	https://mikecaulfield.substack.com/p/why-llms-conflate-images-and-how	by/2025--substack-why-llms-conflate-images-and-how.md	5120
2025-09-17	I Am Once Again Asking You To Use A Balanced, Evidence-Focused Follow-Up	Cutting through Russian disinformation with thirteen extra words	https://mikecaulfield.substack.com/p/i-am-once-again-asking-you-to-use	by/2025--substack-i-am-once-again-asking-you-to-use.md	4754
2025-09-19	My Surprisingly Effective Follow-Ups File	I've been holding back on sharing this until I could present this more fully, but let's YOLO it.	https://mikecaulfield.substack.com/p/my-surprisingly-effective-follow	by/2025--substack-my-surprisingly-effective-follow.md	1329
2025-09-23	AI can walk through all the doors at once	An explanation of why AI can be helpful with sourcing and contextualization and why it sometimes doesn't look that way in retrospect	https://mikecaulfield.substack.com/p/ai-can-walk-through-all-the-doors	by/2025--substack-ai-can-walk-through-all-the-doors.md	7095
2025-09-27	When wrong LLM answers get you to the right information	"Why do you say that?" can be just as instructive with an LLM as it is in real conversation. Also: I make you learn Stalnaker.	https://mikecaulfield.substack.com/p/when-wrong-llm-answers-get-you-to	by/2025--substack-when-wrong-llm-answers-get-you-to.md	9515
2025-10-11	Oh, Lord, Don't Let Me Be Misunderstood	Sometimes the best thing an LLM can do for you is misunderstand you	https://mikecaulfield.substack.com/p/one-way-i-find-llms-useful-for-writing	by/2025--substack-one-way-i-find-llms-useful-for-writing.md	2756
