date	wp_post_id	title	url	text_chars	file
2026-03-13	18266	Software Craftsmanship in the Age of AI	https://www.oreilly.com/radar/software-craftsmanship-in-the-age-of-ai/	11703	by/2026--radar-software-craftsmanship-in-the-age-of-ai.md
2026-03-12	18247	Steve Yegge Wants You to Stop Looking at Your Code	https://www.oreilly.com/radar/steve-yegge-wants-you-to-stop-looking-at-your-code/	12934	by/2026--radar-steve-yegge-wants-you-to-stop-looking-at-your-code.md
2026-03-02	18146	How We Bet Against the Bitter Lesson	https://www.oreilly.com/radar/betting-against-the-bitter-lesson/	23350	by/2026--radar-betting-against-the-bitter-lesson.md
2026-02-19	18080	What Developers Actually Need to Know Right Now	https://www.oreilly.com/radar/what-developers-actually-need-to-know-right-now/	12988	by/2026--radar-what-developers-actually-need-to-know-right-now.md
2026-01-07	17873	The Missing Half of the AI Economy	https://www.oreilly.com/radar/ai-and-the-next-economy/	17765	by/2026--radar-ai-and-the-next-economy.md
2025-12-08	17771	What If? AI in 2026 and Beyond	https://www.oreilly.com/radar/what-if-ai-in-2026-and-beyond/	33681	by/2025--radar-what-if-ai-in-2026-and-beyond.md
2025-12-03	17751	What MCP and Claude Skills Teach Us About Open Source for AI	https://www.oreilly.com/radar/what-mcp-and-claude-skills-teach-us-about-open-source-for-ai/	30719	by/2025--radar-what-mcp-and-claude-skills-teach-us-about-open-source-for-ai.md
2025-11-13	17697	AI Overviews Shouldn’t Be “One Size Fits All”	https://www.oreilly.com/radar/ai-overviews-shouldnt-be-one-size-fits-all/	18847	by/2025--asimov-ai-overviews-shouldnt-be-one-size.md
2025-11-06	17652	Jensen Huang Gets It Wrong, Claude Gets It Right	https://www.oreilly.com/radar/jensen-huang-gets-it-wrong/	20102	by/2025--radar-jensen-huang-gets-it-wrong.md
2025-10-27	17591	AI Integration Is the New Moat	https://www.oreilly.com/radar/integration-is-the-new-moat/	5963	by/2025--radar-integration-is-the-new-moat.md
2025-10-15	17539	Magic Words: Programming the Next Generation of AI Applications	https://www.oreilly.com/radar/magic-words-programming-the-next-generation-of-ai-applications/	14507	by/2025--radar-magic-words-programming-the-next-generation-of-ai-applicatio.md
2025-09-16	17440	MCP in Practice	https://www.oreilly.com/radar/mcp-in-practice/	18452	by/2025--radar-mcp-in-practice.md
2025-09-03	17395	Looking Forward to AI Codecon	https://www.oreilly.com/radar/looking-forward-to-ai-codecon/	14711	by/2025--radar-looking-forward-to-ai-codecon.md
2025-08-21	17320	We Are Only Beginning to Understand How to Use AI	https://www.oreilly.com/radar/we-are-only-beginning-to-understand-how-to-use-ai/	5613	by/2025--radar-we-are-only-beginning-to-understand-how-to-use-ai.md
2025-08-19	17297	Is AI a “Normal Technology”?	https://www.oreilly.com/radar/is-ai-a-normal-technology/	13189	by/2025--radar-is-ai-a-normal-technology.md
2025-08-15	17280	People Work in Teams, AI Assistants in Silos	https://www.oreilly.com/radar/people-work-in-teams-ai-assistants-in-silos/	28229	by/2025--radar-people-work-in-teams-ai-assistants-in-silos.md
2025-08-11	17252	AI’s Swiss Cheese	https://www.oreilly.com/radar/ais-swiss-cheese/	6747	by/2025--radar-ais-swiss-cheese.md
2025-08-07	17225	The Future of Product Management Is AI-Native	https://www.oreilly.com/radar/the-future-of-product-management-is-ai-native/	8468	by/2025--radar-the-future-of-product-management-is-ai-native.md
2025-07-31	17171	Protocols and Power	https://www.oreilly.com/radar/protocols-and-power/	25616	by/2025--protocols-and-power.md
2025-07-15	17037	Where Is AI on the Enshittification Curve?	https://www.oreilly.com/radar/where-is-ai-on-the-enshittification-curve/	11666	by/2025--radar-where-is-ai-on-the-enshittification-curve.md
2025-06-25	16943	“More Slowly”	https://www.oreilly.com/radar/more-slowly/	8327	by/2025--radar-more-slowly.md
2025-06-18	16877	Coding for the Future Agentic World	https://www.oreilly.com/radar/coding-for-the-future-agentic-world/	7060	by/2025--radar-coding-for-the-future-agentic-world.md
2025-05-28	16712	AI First Puts Humans First	https://www.oreilly.com/radar/ai-first-puts-humans-first/	9528	by/2025--radar-ai-first-puts-humans-first.md
2025-05-19	16719	An Architecture of Participation for AI?	https://www.oreilly.com/radar/an-architecture-of-participation-for-ai/	9771	by/2025--radar-an-architecture-of-participation-for-ai.md
2025-05-14	16664	Takeaways from Coding with AI	https://www.oreilly.com/radar/takeaways-from-coding-with-ai/	10818	by/2025--radar-takeaways-from-coding-with-ai.md
2025-05-08	16625	AI and Programming: The Beginning of a New Era	https://www.oreilly.com/radar/ai-and-programming-the-beginning-of-a-new-era/	10358	by/2025--radar-ai-and-programming-the-beginning-of-a-new-era.md
2025-04-29	16572	“Death by 1,000 Pilots”	https://www.oreilly.com/radar/death-by-1000-pilots/	3907	by/2025--radar-death-by-1000-pilots.md
2025-04-02	16513	Copyright-Aware AI: Let’s Make It So	https://www.oreilly.com/radar/copyright-aware-ai-lets-make-it-so/	12184	by/2025--radar-copyright-aware-ai-lets-make-it-so.md
2025-03-11	16452	Think Different	https://www.oreilly.com/radar/think-different/	7887	by/2025--radar-think-different.md
2025-02-27	16403	Ascending Levels of Nerd	https://www.oreilly.com/radar/ascending-levels-of-nerd/	5029	by/2025--radar-ascending-levels-of-nerd.md
2025-02-27	16385	google-review-Ascending Levels of Nerd	https://www.oreilly.com/radar/google-review-ascending-levels-of-nerd/	4382	by/2025--radar-google-review-ascending-levels-of-nerd.md
2025-02-04	16265	The End of Programming as We Know It	https://www.oreilly.com/radar/the-end-of-programming-as-we-know-it/	28160	by/2025--radar-the-end-of-programming-as-we-know-it.md
2024-10-18	16769	Ads Crowding Out Organic on Google (Shopping and Travel)	https://www.oreilly.com/radar/ads-crowding-out-organic-on-google-shopping-and-travel/	4925	by/2024--radar-ads-crowding-out-organic-on-google-shopping-and-travel.md
2024-06-18	15781	How to Fix “AI’s Original Sin”	https://www.oreilly.com/radar/how-to-fix-ais-original-sin/	34735	by/2024--radar-how-to-fix-ais-original-sin.md
2024-04-23	15582	Rising Tide Rents and Robber Baron Rents	https://www.oreilly.com/radar/rising-tide-rents-and-robber-baron-rents/	24374	by/2024--radar-rising-tide-rents-and-robber-baron-rents.md
2024-04-04	15537	AI Has an Uber Problem	https://www.oreilly.com/radar/ai-has-an-uber-problem/	10493	by/2024--radar-ai-has-an-uber-problem.md
2023-12-12	15292	Copyright, AI, and Provenance	https://www.oreilly.com/radar/copyright-ai-and-provenance/	18084	by/2023--radar-copyright-ai-and-provenance.md
2023-10-30	15232	Preliminary Thoughts on the White House Executive Order on AI	https://www.oreilly.com/radar/preliminary-thoughts-on-the-white-house-executive-order-on-ai/	7500	by/2023--radar-preliminary-thoughts-on-the-white-house-executive-order-on-a.md
2023-06-15	15075	The Alignment Problem Is Not New	https://www.oreilly.com/radar/the-alignment-problem-is-not-new/	8666	by/2023--radar-the-alignment-problem-is-not-new.md
2023-06-15	15070	You Can’t Regulate What You Don’t Understand	https://www.oreilly.com/radar/you-cant-regulate-what-you-dont-understand/	13498	by/2023--radar-you-cant-regulate-what-you-dont-understand.md
2023-04-13	15000	google-review-You Can’t Regulate What You Don’t Understand	https://www.oreilly.com/radar/google-review-you-cant-regulate-what-you-dont-understand/	12107	by/2023--radar-google-review-you-cant-regulate-what-you-dont-understand.md
2022-08-02	14641	The Metaverse Is Not a Place	https://www.oreilly.com/radar/the-metaverse-is-not-a-place/	21451	by/2022--radar-the-metaverse-is-not-a-place.md
2022-01-26	14292	Andy Warhol, Clay Christensen, and Vitalik Buterin walk into a bar	https://www.oreilly.com/radar/andy-warhol-clay-christensen-and-vitalik-buterin-walk-into-a-bar/	29053	by/2022--radar-andy-warhol-clay-christensen-and-vitalik-buterin-walk-into-a.md
2021-12-13	14153	Why it’s too early to get excited about Web3	https://www.oreilly.com/radar/why-its-too-early-to-get-excited-about-web3/	25021	by/2021--radar-why-its-too-early-to-get-excited-about-web3.md
2021-06-22	13820	Two economies. Two sets of rules.	https://www.oreilly.com/radar/two-economies-two-sets-of-rules/	24245	by/2021--radar-two-economies-two-sets-of-rules.md
2021-04-23	13748	Checking Jeff Bezos’s Math	https://www.oreilly.com/radar/checking-jeff-bezoss-math/	18092	by/2021--radar-checking-jeff-bezoss-math.md
2021-03-11	13665	The End of Silicon Valley as We Know It?	https://www.oreilly.com/radar/the-end-of-silicon-valley-as-we-know-it/	42818	by/2021--radar-the-end-of-silicon-valley-as-we-know-it.md
2020-03-04	12303	Remembering Freeman Dyson	https://www.oreilly.com/radar/remembering-freeman-dyson/	10936	by/2020--radar-remembering-freeman-dyson.md
2019-09-25	9407	AI isn’t magic. It’s computer science.	https://www.oreilly.com/radar/ai-isnt-magic-its-computer-science/	376	(not held)
2019-08-19	9035	Antitrust regulators are using the wrong tools to break up Big Tech	https://www.oreilly.com/radar/antitrust-regulators-are-using-the-wrong-tools-to-break-up-big-tech/	27459	by/2019--qz-antitrust-regulators-wrong-tools.md
2019-06-27	5382	Use technology to do what you do better	https://www.oreilly.com/radar/use-technology-to-do-what-you-do-better/	1920	by/2019--radar-use-technology-to-do-what-you-do-better.md
2019-06-17	5422	We need more than innovation to build a world that’s prosperous for all	https://www.oreilly.com/radar/we-need-more-than-innovation-to-build-a-world-thats-prosperous-for-all/	1589	by/2019--radar-we-need-more-than-innovation-to-build-a-world-thats-prospero.md
2019-05-14	2197	Making Facebook a scapegoat is a mistake	https://www.oreilly.com/radar/making-facebook-a-scapegoat-is-a-mistake/	4253	by/2019--radar-making-facebook-a-scapegoat-is-a-mistake.md
2019-03-21	2166	The fundamental problem with Silicon Valley’s favorite growth strategy	https://www.oreilly.com/radar/the-fundamental-problem-with-silicon-valleys-favorite-growth-strategy/	61802	by/2019--qz-problem-with-blitzscaling.md
2019-03-13	11797	Changing contexts and intents	https://www.oreilly.com/radar/changing-contexts-and-intents/	6347	by/2019--radar-changing-contexts-and-intents.md
2019-03-12	2160	Future of the firm	https://www.oreilly.com/radar/future-of-the-firm/	55731	by/2019--radar-future-of-the-firm.md
2019-01-10	2121	Gradually, then suddenly	https://www.oreilly.com/radar/gradually-then-suddenly/	12586	by/2019--linkedin-gradually-suddenly.md
2018-09-20	660	Shaping the stories that rule our economy	https://www.oreilly.com/radar/shaping-the-stories-that-rule-our-economy/	20776	by/2018--radar-shaping-the-stories-that-rule-our-economy.md
2018-09-06	3221	Fireside chat with Tim O’Reilly and Kai-Fu Lee	https://www.oreilly.com/radar/fireside-chat-with-tim-oreilly-and-kai-fu-lee/	524	(not held)
2018-07-18	3029	Open source and open standards in the age of cloud AI	https://www.oreilly.com/radar/open-source-and-open-standards-in-the-age-of-cloud-ai/	495	(not held)
2018-01-08	662	What’d I miss?	https://www.oreilly.com/radar/what-did-i-miss/	13952	by/2018--medium-whatd-i-miss.md
2017-09-28	3141	WTF? What’s the future and why it’s up to us	https://www.oreilly.com/radar/wtf-whats-the-future-and-why-its-up-to-us-strata-ny-17/	487	by/2017--medium-wtf-whats-the-future-and-why-it-s-up-to-us.md
2017-09-20	2983	Our Skynet moment	https://www.oreilly.com/radar/our-skynet-moment/	614	(not held)
2017-05-25	3193	Using AI to create new jobs	https://www.oreilly.com/radar/using-ai-to-create-new-jobs/	1081	by/2017--radar-using-ai-to-create-new-jobs.md
2017-01-03	664	5 tips for succeeding at digital transformation	https://www.oreilly.com/radar/5-tips-for-succeeding-at-digital-transformation/	9024	by/2017--radar-5-tips-for-succeeding-at-digital-transformation.md
2016-12-07	1846	How I detect fake news	https://www.oreilly.com/radar/how-i-detect-fake-news/	9506	by/2016--radar-how-i-detect-fake-news.md
2016-12-01	666	“Wall Street made me do it”	https://www.oreilly.com/radar/wall-street-made-me-do-it/	8676	by/2016--medium-wall-street-made-me-do-it.md
2016-11-16	668	Media in the age of algorithms	https://www.oreilly.com/radar/media-in-the-age-of-algorithms/	17312	by/2016--radar-media-in-the-age-of-algorithms.md
2016-10-20	691	What will AI make possible that’s impossible today?	https://www.oreilly.com/radar/what-will-ai-make-possible-thats-impossible-today/	13478	by/2016--radar-what-will-ai-make-possible-thats-impossible-today.md
2016-10-10	2881	Creating a culture of learning	https://www.oreilly.com/radar/creating-a-culture-of-learning/	422	(not held)
2016-10-10	2883	What problem are we trying to solve?	https://www.oreilly.com/radar/what-problem-are-we-trying-to-solve/	448	(not held)
2016-10-04	2904	Central Park: Government as a platform, in action	https://www.oreilly.com/radar/central-park-government-as-a-platform-in-action/	5226	by/2016--radar-central-park-government-as-a-platform-in-action.md
2016-09-29	695	What should Alexa do?	https://www.oreilly.com/radar/what-should-alexa-do/	7402	by/2016--linkedin-what-should-alexa-do.md
2016-09-26	3299	Why we’ll never run out of jobs	https://www.oreilly.com/radar/why-well-never-run-out-of-jobs-ai-2016/	486	(not held)
2016-09-15	698	The great question of the 21st century: Whose black box do you trust?	https://www.oreilly.com/radar/the-great-question-of-the-21st-century-whose-black-box-do-you-trust/	24300	by/2016--radar-the-great-question-of-the-21st-century-whose-black-box-do-yo.md
2016-08-30	2906	Tim O’Reilly: How smart managers should use artificial intelligence	https://www.oreilly.com/radar/tim-oreilly-how-smart-managers-should-use-artificial-intelligence/	418	(not held)
2016-08-19	700	What would Alexa do?	https://www.oreilly.com/radar/what-would-alexa-do/	16138	by/2016--radar-what-would-alexa-do.md
2016-08-16	702	The UK needs to double down on the GDS, not dismantle it	https://www.oreilly.com/radar/the-uk-needs-to-double-down-on-the-gds-not-dismantle-it/	7867	by/2016--radar-the-uk-needs-to-double-down-on-the-gds-not-dismantle-it.md
2016-08-04	705	The game of business: It’s time to rewrite the rules	https://www.oreilly.com/radar/the-game-of-business-its-time-to-rewrite-the-rules/	20342	by/2016--radar-the-game-of-business-its-time-to-rewrite-the-rules.md
2016-07-20	708	Don’t replace people. Augment them.	https://www.oreilly.com/radar/dont-replace-people-augment-them/	12220	by/2016--medium-dont-replace-people-augment-them.md
2016-07-19	3561	Applications of AI technologies: Peter Norvig in conversation with Tim O’Reilly	https://www.oreilly.com/radar/applications-of-ai-technologies-peter-norvig-in-conversation-with-tim-oreilly/	392	(not held)
2016-07-11	715	Machine money and people money	https://www.oreilly.com/radar/machine-money-and-people-money/	25505	by/2016--medium-machine-money-and-people-money.md
2016-06-29	717	Technology and business as if people matter	https://www.oreilly.com/radar/technology-and-business-as-if-people-matter/	10704	by/2016--medium-technology-and-business-as-if-people-matter.md
2016-03-24	719	“This is strictly a business decision”	https://www.oreilly.com/radar/this-is-strictly-a-business-decision/	5949	by/2016--medium-this-is-strictly-a-business-decision.md
2016-01-04	723	6 things to look for in Next:Economy companies	https://www.oreilly.com/radar/6-things-to-look-for-in-next-economy-companies/	4974	by/2016--radar-6-things-to-look-for-in-next-economy-companies.md
2015-10-30	729	Escaping the superstar syndrome	https://www.oreilly.com/radar/escaping-the-superstar-syndrome/	23577	by/2015--radar-escaping-the-superstar-syndrome.md
2015-09-25	740	We’ve got this whole unicorn thing all wrong!	https://www.oreilly.com/radar/weve-got-this-whole-unicorn-thing-all-wrong/	12355	by/2015--medium-we-ve-got-this-whole-unicorn-thing-all-wrong.md
2015-09-23	742	Improving Uber’s surge pricing	https://www.oreilly.com/radar/improving-ubers-surge-pricing/	15466	by/2015--medium-improving-uber-s-surge-pricing.md
2015-09-17	746	How on-demand logistics could save brick and mortar retail	https://www.oreilly.com/radar/how-on-demand-logistics-could-save-brick-and-mortar-retail/	7259	by/2015--medium-how-on-demand-logistics-could-save-brick-and-mortar-retail.md
2015-09-02	751	A world of continous partial employment	https://www.oreilly.com/radar/a-world-of-continous-partial-employment/	29790	by/2015--radar-a-world-of-continous-partial-employment.md
2015-08-18	754	The rise of networked platforms for physical world services	https://www.oreilly.com/radar/the-rise-of-networked-platforms-for-physical-world-services/	29109	by/2015--radar-the-rise-of-networked-platforms-for-physical-world-services.md
2015-07-08	757	The WTF Economy	https://www.oreilly.com/radar/the-wtf-economy/	7368	by/2015--medium-the-wtf-economy.md
2015-06-27	2925	Innovation Nation – Megan Smith & Tim O’Reilly interview	https://www.oreilly.com/radar/innovation-nation-megan-smith-and-tim-oreilly-interview/	0	(not held)
2015-05-04	1925	How Data Science Is Transforming Health Care	https://www.oreilly.com/radar/how-data-science-is-transforming-health-care/	33405	by/2015--radar-how-data-science-is-transforming-health-care.md
2014-11-20	2929	The Internet of Things and Humans	https://www.oreilly.com/radar/the-internet-of-things-and-humans/	0	(not held)
2014-09-30	791	What Amazon, iTunes, and Uber teach us about Apple Pay	https://www.oreilly.com/radar/what-amazon-itunes-and-uber-teach-us-about-apple-pay/	3012	by/2014--radar-what-amazon-itunes-and-uber-teach-us-about-apple-pay.md
2014-09-17	2931	By People, For People	https://www.oreilly.com/radar/by-people-for-people/	0	(not held)
2014-08-16	793	#IoTH: The Internet of Things and Humans	https://www.oreilly.com/radar/ioth-the-internet-of-things-and-humans/	10751	by/2014--radar-ioth-the-internet-of-things-and-humans.md
2013-09-16	797	How I failed	https://www.oreilly.com/radar/how-i-failed/	31084	by/2013--radar-how-i-failed.md
2012-07-18	2933	The Clothesline Paradox and the Sharing Economy	https://www.oreilly.com/radar/the-clothesline-paradox-and-the-sharing-economy/	0	(not held)
